"peak_position","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit","mode_name"
1,0.647,0.8,-5.384,0.165,0.0647,0,0.334,0.942,160.078,FALSE,"major"
13,0.621,0.417,-6.941,0.0231,0.288,0,0.119,0.289,99.953,FALSE,"major"
16,0.668,0.672,-4.931,0.0303,0.111,0,0.329,0.539,89.011,FALSE,"major"
1,0.76,0.703,-5.412,0.054,0.103,0,0.0913,0.57,95.997,FALSE,"major"
2,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,FALSE,"minor"
12,0.75,0.404,-10.178,0.0682,0.216,0.000357,0.0911,0.0499,95.045,FALSE,"minor"
6,0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,FALSE,"major"
1,0.646,0.794,-6.104,0.19,0.0885,6.16e-06,0.201,0.287,170.216,FALSE,"major"
2,0.734,0.442,-8.432,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967,FALSE,"major"
3,0.624,0.757,-2.94,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,FALSE,"major"
13,0.585,0.346,-8.014,0.0256,0.302,0,0.102,0.195,92.564,FALSE,"major"
10,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,FALSE,"major"
2,0.771,0.671,-5.617,0.0553,0.00929,0,0.0637,0.714,85.026,FALSE,"major"
18,0.521,0.702,-5.189,0.0331,0.189,0,0.0962,0.25,127.976,FALSE,"major"
17,0.605,0.787,-3.002,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,FALSE,"major"
40,0.58,0.491,-6.462,0.0251,0.575,0,0.121,0.425,76.009,FALSE,"major"
33,0.476,0.777,-3.771,0.0289,0.0103,0,0.196,0.472,167.964,FALSE,"minor"
28,0.658,0.877,-2.098,0.0323,0.173,0,0.0962,0.821,105.586,FALSE,"major"
6,0.529,0.67,-4.663,0.0303,0.117,0,0.334,0.286,141.893,FALSE,"major"
11,0.568,0.761,-3.987,0.0459,0.452,0,0.217,0.789,163.974,FALSE,"major"
13,0.608,0.569,-7.227,0.0284,0.537,0,0.097,0.238,159.845,FALSE,"major"
1,0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,FALSE,"minor"
4,0.613,0.764,-6.509,0.136,0.0527,0,0.197,0.417,160.015,FALSE,"major"
22,0.47,0.79,-5.352,0.039,0.0216,0,0.0863,0.495,158.061,FALSE,"major"
2,0.61,0.83,-4.105,0.0571,0.033,0,0.118,0.728,182.162,FALSE,"major"
1,0.392,0.574,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,FALSE,"major"
18,0.677,0.722,-7.088,0.0522,0.0213,0,0.207,0.0483,125.091,TRUE,"major"
2,0.491,0.703,-4.5,0.0319,0.0307,5.72e-06,0.167,0.344,157.988,FALSE,"major"
30,0.471,0.3,-10.807,0.028,0.883,1.05e-05,0.0698,0.289,144.319,FALSE,"major"
1,0.602,0.609,-7.803,0.0243,0.0382,2e-04,0.127,0.337,93.06,FALSE,"major"
1,0.612,0.58,-8.572,0.0419,0.525,0.000414,0.26,0.534,130.045,FALSE,"minor"
18,0.649,0.589,-6.237,0.0558,0.00845,0,0.108,0.151,159.073,FALSE,"major"
19,0.598,0.724,-7.226,0.0344,0.00667,0.00187,0.0839,0.299,137.116,FALSE,"major"
41,0.543,0.818,-3.611,0.0398,0.00478,0.000368,0.0357,0.683,139.898,FALSE,"major"
18,0.553,0.841,-6.937,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,FALSE,"major"
46,0.633,0.889,-5.87,0.0715,0.00463,0.000458,0.0658,0.584,121.956,FALSE,"major"
17,0.452,0.544,-5.423,0.0277,0.0631,5.33e-06,0.104,0.158,133.042,FALSE,"major"
23,0.777,0.658,-5.191,0.054,0.0767,0,0.0901,0.633,110.048,FALSE,"major"
4,0.78,0.361,-6.942,0.048,0.75,7.14e-06,0.108,0.163,139.902,TRUE,"major"
2,0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,TRUE,"major"
6,0.7,0.55,-9.13,0.0653,0.0661,0.000102,0.091,0.412,164.003,FALSE,"major"
9,0.649,0.622,-7.054,0.0582,0.074,0,0.594,0.106,90.024,TRUE,"major"
4,0.659,0.323,-13.425,0.0436,0.735,0.00321,0.116,0.154,110.007,TRUE,"major"
3,0.658,0.378,-8.3,0.0379,0.0593,0,0.0976,0.0382,108.034,TRUE,"major"
10,0.87,0.279,-11.134,0.364,0.16,1.74e-05,0.121,0.16,79.996,TRUE,"minor"
8,0.694,0.38,-10.307,0.0614,0.416,8.47e-06,0.126,0.376,120.044,FALSE,"major"
5,0.636,0.377,-11.721,0.0708,0.71,6.51e-05,0.115,0.23,139.966,FALSE,"major"
7,0.751,0.502,-8.777,0.162,0.226,0,0.297,0.112,108.989,TRUE,"major"
14,0.487,0.313,-15.434,0.0487,0.791,0.348,0.124,0.141,110.039,FALSE,"major"
15,0.334,0.161,-14.875,0.0506,0.967,4.71e-05,0.115,0.396,176.747,FALSE,"major"
13,0.661,0.352,-14.077,0.117,0.571,0.00147,0.0884,0.13,125.934,FALSE,"major"
6,0.31,0.374,-8.464,0.0275,0.761,2.46e-05,0.11,0.16,75.938,FALSE,"major"
11,0.459,0.459,-4.126,0.0275,0.13,2.3e-06,0.113,0.281,134.018,FALSE,"major"
13,0.8,0.535,-6.684,0.135,0.0713,9.48e-06,0.213,0.451,92.027,FALSE,"major"
21,0.422,0.235,-12.379,0.0568,0.826,0.00648,0.115,0.068,165.71,FALSE,"major"
20,0.483,0.84,-6.508,0.119,0.43,0.000575,0.146,0.55,157.979,FALSE,"major"
26,0.573,0.741,-8.987,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,FALSE,"major"
21,0.528,0.309,-7.398,0.0329,0.924,2.1e-06,0.282,0.307,133.83,FALSE,"major"
32,0.7,0.509,-10.547,0.0789,0.112,3.27e-05,0.137,0.345,110.947,FALSE,"major"
33,0.646,0.529,-10.179,0.0864,0.723,0,0.0885,0.755,87.862,FALSE,"major"
8,0.709,0.599,-3.734,0.0304,0.095,0,0.0973,0.735,118.975,FALSE,"major"
10,0.548,0.756,-4.175,0.036,0.00471,0,0.117,0.224,96.038,FALSE,"major"
10,0.618,0.687,-5.737,0.0271,0.111,0,0.0693,0.82,79.991,FALSE,"major"
38,0.292,0.574,-9.375,0.0401,0.12,0.00569,0.0663,0.166,124.344,FALSE,"major"
21,0.462,0.24,-12.077,0.0377,0.92,0,0.113,0.32,171.319,TRUE,"major"
34,0.546,0.613,-7.589,0.0264,0.418,0,0.103,0.535,79.015,FALSE,"minor"
39,0.575,0.434,-8.193,0.0312,0.735,6.59e-05,0.105,0.348,145.916,FALSE,"major"
42,0.595,0.376,-8.767,0.0256,0.589,0,0.0989,0.476,95.946,TRUE,"major"
11,0.618,0.736,-3.937,0.0308,0.157,0,0.073,0.307,118.982,FALSE,"major"
25,0.602,0.896,-4.267,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,FALSE,"minor"
28,0.664,0.316,-10.345,0.519,0.298,2.03e-06,0.0812,0.541,92.875,FALSE,"major"
23,0.387,0.634,-9.222,0.0363,0.553,6.93e-05,0.0931,0.42,89.567,FALSE,"major"
37,0.651,0.459,-11.128,0.0507,0.859,6.63e-05,0.105,0.454,83.455,FALSE,"minor"
13,0.688,0.653,-8.558,0.0403,0.481,0.00414,0.106,0.701,147.991,TRUE,"major"
26,0.549,0.417,-10.064,0.035,0.686,1.9e-06,0.0604,0.347,110.137,FALSE,"major"
35,0.602,0.494,-10.813,0.0277,0.888,2.59e-05,0.0902,0.374,94.955,FALSE,"major"
16,0.456,0.265,-10.663,0.0328,0.814,0,0.0679,0.112,129.947,FALSE,"major"
29,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,FALSE,"major"
19,0.419,0.454,-6.809,0.0335,0.0583,3.78e-06,0.0974,0.288,200.017,FALSE,"major"
23,0.476,0.816,-4.279,0.0347,0.169,0,0.238,0.469,163.847,FALSE,"major"
63,0.436,0.95,-2.627,0.057,0.0826,1.08e-06,0.149,0.352,162.088,FALSE,"major"
16,0.565,0.255,-10.152,0.0314,0.646,0,0.127,0.174,57.964,FALSE,"major"
10,0.511,0.719,-3.457,0.0265,0.166,4.54e-06,0.34,0.289,147.852,FALSE,"major"
27,0.598,0.504,-9.874,0.0731,0.186,0.000221,0.34,0.252,163.954,FALSE,"major"
48,0.789,0.634,-4.762,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,FALSE,"major"
41,0.675,0.466,-9.738,0.201,0.361,0,0.11,0.347,140.864,FALSE,"minor"
45,0.562,0.388,-12.088,0.0705,0.481,0.00145,0.117,0.159,107.747,FALSE,"major"
18,0.588,0.825,-5.882,0.0328,0.000197,0.00138,0.0885,0.397,129.968,FALSE,"major"
54,0.705,0.621,-8.086,0.0334,0.101,4.3e-06,0.147,0.395,109.993,FALSE,"major"
59,0.567,0.481,-7.357,0.027,0.0173,4.13e-05,0.182,0.233,145.865,FALSE,"major"
66,0.505,0.443,-7.039,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,FALSE,"major"
76,0.627,0.816,-6.698,0.0774,0.0162,0.00208,0.0966,0.648,157.043,FALSE,"major"
77,0.53,0.526,-8.349,0.0263,0.199,3.52e-06,0.232,0.323,79.025,FALSE,"major"
84,0.706,0.499,-7.675,0.0369,0.0371,0,0.132,0.545,117.937,FALSE,"major"
85,0.624,0.34,-12.411,0.029,0.632,0.0337,0.121,0.261,129.987,FALSE,"major"
83,0.62,0.506,-7.327,0.0312,0.187,1.47e-05,0.102,0.275,126.015,FALSE,"major"
90,0.649,0.777,-5.804,0.0406,0.0213,0.000335,0.221,0.587,126.018,FALSE,"major"
87,0.483,0.548,-6.291,0.0254,0.00471,2.01e-06,0.0997,0.217,79.926,FALSE,"major"
50,0.481,0.435,-8.795,0.0321,0.678,0,0.0928,0.107,143.95,FALSE,"major"
60,0.476,0.189,-13.777,0.0329,0.904,4.52e-06,0.254,0.324,115.851,FALSE,"minor"
34,0.71,0.614,-6.965,0.0366,0.00164,0.000154,0.0785,0.673,135.012,FALSE,"major"
83,0.474,0.48,-8.894,0.0622,0.707,0.000108,0.0903,0.319,170.109,FALSE,"major"
51,0.422,0.692,-5.447,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,FALSE,"major"
26,0.582,0.765,-3.648,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,FALSE,"major"
71,0.371,0.341,-9.475,0.0319,0.57,3.09e-05,0.101,0.196,89.038,FALSE,"major"
85,0.418,0.68,-4.3,0.0347,0.036,7.59e-05,0.114,0.142,204.12,FALSE,"major"
54,0.589,0.47,-5.32,0.028,0.166,1.45e-06,0.112,0.102,119.386,FALSE,"major"
84,0.714,0.305,-8.837,0.0305,0.819,0,0.174,0.554,124.91,FALSE,"major"
75,0.455,0.623,-3.878,0.0288,0.0739,0.000424,0.146,0.208,163.893,FALSE,"major"
56,0.516,0.917,-3.186,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,FALSE,"minor"
26,0.61,0.531,-6.123,0.0239,0.367,0,0.351,0.228,85.979,FALSE,"major"
27,0.552,0.608,-5.29,0.0259,0.186,0,0.125,0.17,134.05,FALSE,"minor"
94,0.843,0.553,-7.348,0.0317,0.168,2.66e-06,0.107,0.825,115.997,FALSE,"major"
30,0.527,0.475,-6.205,0.0258,0.0868,4.34e-06,0.248,0.224,143.962,FALSE,"major"
87,0.498,0.486,-7.384,0.0273,0.373,0,0.113,0.17,147.952,FALSE,"major"
75,0.756,0.449,-8.746,0.0344,0.13,0,0.114,0.399,111.011,FALSE,"major"
77,0.739,0.32,-10.862,0.239,0.736,0.000147,0.111,0.351,79.97,FALSE,"minor"
67,0.712,0.732,-6.754,0.0629,0.454,0,0.319,0.313,94.071,FALSE,"major"
49,0.662,0.747,-6.926,0.0736,0.028,0.00615,0.138,0.487,150.088,FALSE,"minor"
92,0.737,0.175,-9.912,0.0401,0.971,0.000337,0.171,0.545,70.008,FALSE,"major"
51,0.897,0.366,-8.029,0.0569,0.00889,0.000353,0.0715,0.416,100.003,FALSE,"major"
57,0.824,0.624,-9.728,0.0827,0.781,0.000189,0.1,0.248,102.012,FALSE,"major"
45,0.811,0.719,-6.553,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,FALSE,"major"
63,0.433,0.182,-12.566,0.0641,0.907,0,0.123,0.421,207.476,FALSE,"major"
89,0.557,0.496,-9.602,0.0563,0.808,0.000173,0.0772,0.265,149.983,FALSE,"major"
62,0.695,0.71,-6.639,0.05,0.0246,0.000104,0.133,0.557,157.925,FALSE,"major"
58,0.644,0.284,-12.879,0.0821,0.916,1.5e-05,0.0909,0.328,150.072,TRUE,"major"
71,0.676,0.178,-15.01,0.0394,0.964,7.9e-06,0.135,0.404,118.84,FALSE,"major"
57,0.317,0.254,-13.679,0.0286,0.727,0.000326,0.0867,0.103,93.933,FALSE,"major"
39,0.511,0.478,-9.837,0.0322,0.312,2.3e-05,0.147,0.408,135.882,FALSE,"major"
44,0.529,0.304,-10.567,0.0356,0.862,0,0.108,0.44,119.58,FALSE,"major"
47,0.593,0.7,-9.016,0.0492,0.67,6.77e-06,0.116,0.451,141.898,TRUE,"major"
50,0.56,0.78,-4.895,0.0517,0.00244,0,0.0714,0.602,93.516,FALSE,"minor"
63,0.624,0.458,-6.755,0.0287,0.36,3.89e-06,0.303,0.436,80.017,FALSE,"major"
67,0.729,0.748,-6.67,0.0245,0.307,1.29e-06,0.09,0.928,99.981,FALSE,"major"
69,0.535,0.777,-3.292,0.207,0.0187,1.62e-06,0.136,0.664,171.72,FALSE,"major"
46,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,FALSE,"minor"
52,0.658,0.729,-6.561,0.0378,0.00215,0.0013,0.0752,0.668,104.007,FALSE,"major"
55,0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,FALSE,"major"
40,0.512,0.462,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,TRUE,"major"
68,0.546,0.73,-7.704,0.0417,0.66,0.179,0.0972,0.573,157.895,FALSE,"major"
71,0.604,0.517,-9.014,0.0347,0.768,0.000155,0.123,0.511,127.967,TRUE,"major"
45,0.316,0.361,-10.381,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,TRUE,"major"
61,0.515,0.545,-9.277,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,TRUE,"major"
57,0.39,0.27,-10.673,0.0308,0.937,0.00227,0.111,0.32,125.177,FALSE,"major"
63,0.537,0.537,-11.266,0.0617,0.819,0.000904,0.142,0.292,107.895,FALSE,"major"
82,0.689,0.704,-10.813,0.245,0.835,4.83e-06,0.134,0.92,151.884,FALSE,"major"
67,0.605,0.488,-8.322,0.0264,0.696,0,0.129,0.354,119.966,FALSE,"major"
52,0.559,0.334,-10.733,0.0376,0.87,0,0.114,0.211,122.079,TRUE,"major"
75,0.535,0.561,-11.609,0.0484,0.876,0.000136,0.115,0.287,96.103,FALSE,"major"
75,0.687,0.771,-4.424,0.0384,0.164,2.46e-05,0.112,0.445,129.964,FALSE,"major"
88,0.559,0.636,-4.4,0.0263,0.0728,0,0.144,0.214,95.485,FALSE,"major"
71,0.598,0.714,-4.397,0.0273,0.0364,1.04e-06,0.31,0.467,99.979,FALSE,"major"
65,0.605,0.829,-4.993,0.0549,0.0907,0,0.106,0.514,128.012,FALSE,"major"
94,0.436,0.712,-3.689,0.0329,0.0322,0,0.111,0.379,160.886,FALSE,"major"
73,0.532,0.708,-8.121,0.0505,0.435,0.0236,0.107,0.586,167.977,TRUE,"major"
37,0.55,0.688,-7.416,0.0897,0.0692,0.00144,0.106,0.465,139.997,FALSE,"major"
