"track_names","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit","mode_name"
"Echoes of Eternity",0.687,0.265,-8.193,0.135,0.074,0,0.0972,0.511,130.045,FALSE,"major"
"Midnight Serenade",0.483,0.703,-9.016,0.0363,0.000197,0,0.207,0.281,104.007,FALSE,"minor"
"Whispers in the Wind",0.553,0.48,-6.561,0.0366,0.66,0,0.167,0.337,167.977,FALSE,"major"
"City Lights and Country Skies",0.605,0.377,-6.471,0.0363,0.855,0,0.106,0.351,119.386,FALSE,"major"
"Diamonds in the Dust",0.734,0.442,-8.432,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967,FALSE,"major"
"Golden Memories",0.559,0.79,-11.128,0.245,0.0728,9.48e-06,0.351,0.195,122.079,FALSE,"major"
"Infinite Horizons",0.7,0.765,-9.195,0.0273,0.0307,0,0.126,0.529,110.947,FALSE,"major"
"Heartstrings and Harmonies",0.604,0.265,-11.266,0.0344,0.736,0,0.116,0.112,128.012,FALSE,"minor"
"Stars Align",0.658,0.671,-4.993,0.0251,0.0885,2.57e-05,0.0357,0.354,89.567,FALSE,"major"
"Fireside Chats",0.789,0.352,-5.29,0.0417,0.00667,1.05e-05,0.116,0.396,147.952,FALSE,"minor"
"Rivers of Reverie",0.317,0.609,-6.67,0.0277,0.57,0,0.0909,0.825,93.516,FALSE,"minor"
"Celestial Symphony",0.436,0.316,-6.291,0.0563,0.0767,0.000904,0.303,0.92,141.898,FALSE,"major"
